market,season,model,games,mae,bias
passing,2018,current,485,62.8291,-2.8405
passing,2018,current_plus_ngs,485,62.8759,-0.7013
passing,2019,current,483,57.505,4.5465
passing,2019,current_plus_ngs,483,57.8267,5.3176
passing,2020,current,489,60.3692,-11.0111
passing,2020,current_plus_ngs,489,60.0158,-10.3294
passing,2021,current,515,55.3681,-7.7181
passing,2021,current_plus_ngs,515,55.3114,-7.3911
passing,2022,current,515,52.9267,-4.421
passing,2022,current_plus_ngs,515,52.8778,-3.0588
passing,2023,current,519,55.8869,2.3289
passing,2023,current_plus_ngs,519,55.7007,3.1665
passing,2024,current,530,56.5639,-5.6416
passing,2024,current_plus_ngs,530,56.5915,-4.8571
passing,2025,current,519,55.9331,-11.618
passing,2025,current_plus_ngs,519,55.8336,-11.0987
rushing,2018,current,839,25.6993,0.6556
rushing,2018,current_plus_ngs,839,25.7313,0.8161
rushing,2019,current,822,26.0775,0.7432
rushing,2019,current_plus_ngs,822,25.8961,1.4829
rushing,2020,current,874,25.6016,0.4422
rushing,2020,current_plus_ngs,874,25.6392,0.5162
rushing,2021,current,925,24.9616,0.9428
rushing,2021,current_plus_ngs,925,24.9068,1.2096
rushing,2022,current,905,26.5639,-0.0502
rushing,2022,current_plus_ngs,905,26.5491,0.0141
rushing,2023,current,878,24.2628,-0.9703
rushing,2023,current_plus_ngs,878,24.2192,-1.179
rushing,2024,current,857,25.3898,1.4082
rushing,2024,current_plus_ngs,857,25.3541,1.1928
rushing,2025,current,883,24.9471,0.8818
rushing,2025,current_plus_ngs,883,24.9436,0.6369
receiving,2018,current,1843,25.647,1.038
receiving,2018,current_plus_ngs,1843,25.8395,0.197
receiving,2019,current,1838,26.8199,1.7461
receiving,2019,current_plus_ngs,1838,26.8336,1.1592
receiving,2020,current,1937,25.8584,-0.7984
receiving,2020,current_plus_ngs,1937,25.8067,-1.3117
receiving,2021,current,2062,25.0175,-1.2362
receiving,2021,current_plus_ngs,2062,25.0848,-1.5941
receiving,2022,current,1966,25.2587,-0.497
receiving,2022,current_plus_ngs,1966,25.2332,-1.019
receiving,2023,current,1930,25.5864,1.4687
receiving,2023,current_plus_ngs,1930,25.5727,1.2384
receiving,2024,current,1952,25.1724,1.3253
receiving,2024,current_plus_ngs,1952,25.1863,0.7003
receiving,2025,current,1893,24.66,-1.8358
receiving,2025,current_plus_ngs,1893,24.7531,-2.3863
receptions,2018,current,1843,1.6957,0.0236
receptions,2018,current_plus_ngs,1843,1.7015,-0.0302
receptions,2019,current,1838,1.7646,0.0436
receptions,2019,current_plus_ngs,1838,1.7591,0.01
receptions,2020,current,1937,1.7664,0.034
receptions,2020,current_plus_ngs,1937,1.772,0.0108
receptions,2021,current,2062,1.7036,-0.0523
receptions,2021,current_plus_ngs,2062,1.7039,-0.0825
receptions,2022,current,1966,1.748,-0.0092
receptions,2022,current_plus_ngs,1966,1.7438,-0.0441
receptions,2023,current,1930,1.7252,0.0752
receptions,2023,current_plus_ngs,1930,1.7294,0.0614
receptions,2024,current,1952,1.7456,0.152
receptions,2024,current_plus_ngs,1952,1.7413,0.1104
receptions,2025,current,1893,1.6842,-0.1562
receptions,2025,current_plus_ngs,1893,1.6809,-0.1883
