market,band,samples,estimated,actual,gap_pct
passing,"(-0.001, 0.6]",3388,0.5364,0.5366,0.0170
passing,"(0.6, 0.7]",2844,0.6513,0.6498,-0.1501
passing,"(0.7, 0.8]",3093,0.7502,0.7549,0.4686
passing,"(0.8, 0.9]",1340,0.8216,0.8254,0.3756
receiving,"(-0.001, 0.6]",22519,0.5003,0.5002,-0.0143
receiving,"(0.6, 0.7]",12518,0.6486,0.6487,0.0039
receiving,"(0.7, 0.8]",10369,0.7471,0.7502,0.3067
receptions,"(-0.001, 0.6]",5974,0.5660,0.5686,0.2617
receptions,"(0.6, 0.7]",8766,0.6479,0.6481,0.0203
receptions,"(0.7, 0.8]",8396,0.7521,0.7525,0.0402
receptions,"(0.8, 0.9]",13679,0.8504,0.8534,0.2988
receptions,"(0.9, 1.0]",7593,0.9211,0.9202,-0.0947
rushing,"(-0.001, 0.6]",10418,0.4955,0.5011,0.5521
rushing,"(0.6, 0.7]",5953,0.6486,0.6422,-0.6384
rushing,"(0.7, 0.8]",5206,0.7469,0.7561,0.9189
