season,model,games,mae,carry_mae,bias
2018,two_stage_base,1083,23.9143,3.9558,0.8012
2018,two_stage_roles,1083,23.1939,3.7973,0.8882
2019,two_stage_base,1028,24.6615,3.9549,1.8332
2019,two_stage_roles,1028,24.3974,3.8189,1.8955
2020,two_stage_base,1121,23.9202,4.028,1.5174
2020,two_stage_roles,1121,23.3819,3.8895,1.9096
2021,two_stage_base,1179,23.4159,4.2225,1.9662
2021,two_stage_roles,1179,23.0329,4.0811,1.8016
2022,two_stage_base,1180,25.1556,4.0854,2.109
2022,two_stage_roles,1180,24.6165,3.9278,2.7407
2023,two_stage_base,1179,22.3595,4.0372,-0.2041
2023,two_stage_roles,1179,21.5853,3.7901,0.0123
2024,two_stage_base,1225,23.1726,3.7931,1.9619
2024,two_stage_roles,1225,22.9986,3.7455,2.2581
2025,two_stage_base,1217,22.7656,3.722,1.8304
2025,two_stage_roles,1217,22.6336,3.6941,0.6423
