market,season,model,games,mae,rmse,bias,within_threshold_pct
passing,2018,baseline,491,66.9875,82.8531,-3.5416,35.6415
passing,2018,ridge,491,62.5783,77.2704,-2.4765,37.6782
passing,2018,hgb,491,63.0037,77.702,-1.9845,36.6599
passing,2019,baseline,484,63.8346,80.7244,2.7394,40.2893
passing,2019,ridge,484,58.4164,73.4706,4.9034,41.3223
passing,2019,hgb,484,59.2385,75.0797,5.306,42.9752
passing,2020,baseline,490,64.1204,80.1293,-2.0518,37.3469
passing,2020,ridge,490,59.9263,74.5364,-7.8744,42.0408
passing,2020,hgb,490,60.5034,75.2652,-7.5482,41.4286
passing,2021,baseline,515,62.23,76.6487,-4.4525,38.4466
passing,2021,ridge,515,56.3849,71.1787,-8.4679,41.7476
passing,2021,hgb,515,57.0516,71.1911,-7.7339,43.6893
passing,2022,baseline,510,58.5277,74.0747,-2.7743,41.1765
passing,2022,ridge,510,52.8744,67.1671,-3.4097,47.451
passing,2022,hgb,510,53.2101,67.3046,-4.7204,46.4706
passing,2023,baseline,517,60.2478,75.6197,1.4916,40.4255
passing,2023,ridge,517,55.9339,69.2243,1.2239,41.7795
passing,2023,hgb,517,56.4838,69.7641,-0.9056,41.0058
passing,2024,baseline,529,60.173,75.1711,-1.2288,39.8866
passing,2024,ridge,529,56.4448,70.0105,-5.824,41.7769
passing,2024,hgb,529,56.2691,69.8802,-6.3234,43.2892
passing,2025,baseline,510,61.5419,77.0008,-2.6525,39.2157
passing,2025,ridge,510,55.7809,69.9549,-10.5327,43.3333
passing,2025,hgb,510,56.4393,70.4354,-9.7605,42.3529
rushing,2018,baseline,1098,24.9094,33.0391,-2.7357,40.1639
rushing,2018,ridge,1098,24.1378,31.7546,-1.033,39.4353
rushing,2018,hgb,1098,24.1995,31.696,-1.5131,38.0692
rushing,2019,baseline,1036,25.3636,33.1456,-1.9894,39.1892
rushing,2019,ridge,1036,24.7393,32.1182,-0.3675,37.0656
rushing,2019,hgb,1036,24.6665,32.1218,-0.5914,37.6448
rushing,2020,baseline,1131,24.597,32.1821,-1.883,39.7878
