relationship,samples,raw_rho,shrunk_rho
opponents|receiving|receptions,80084,0.0125,0.0124
same_team|receiving|receptions,77222,0.0058,0.0058
opponents|receiving|receiving,40042,0.0239,0.0238
opponents|receptions|receptions,40042,-0.0055,-0.0055
same_team|receiving|receiving,38611,-0.0087,-0.0087
same_team|receptions|receptions,38611,0.0297,0.0296
opponents|receiving|rushing,37512,0.0029,0.0029
opponents|receptions|rushing,37512,0.0056,0.0056
same_team|receiving|rushing,34336,-0.036,-0.0358
same_team|receptions|rushing,34336,-0.0597,-0.0595
same_player|receiving|receptions,19999,0.7699,0.7642
qb_receiver|passing|receiving,16690,0.3549,0.3517
qb_receiver|passing|receptions,16690,0.2909,0.2884
opponents|passing|receiving,16374,0.0456,0.0452
opponents|passing|receptions,16374,0.0086,0.0086
opponents|rushing|rushing,8786,-0.0709,-0.0698
opponents|passing|rushing,7688,0.0055,0.0054
same_team|passing|rushing,7673,-0.1129,-0.1107
same_team|rushing|rushing,7139,0.0064,0.0062
qb_receiver|receiving|rushing,5763,-0.0041,-0.004
qb_receiver|receptions|rushing,5763,0.005,0.0049
same_player|receiving|rushing,3225,0.0331,0.0317
same_player|receptions|rushing,3225,0.0052,0.005
same_team|passing|receiving,2180,0.3773,0.353
same_team|passing|receptions,2180,0.2916,0.2728
opposing_qb|passing|passing,1687,0.111,0.1019
same_player|passing|rushing,1368,-0.0298,-0.0268
same_player|receptions|receptions,235,0.9999,0.6103
same_player|receiving|receiving,235,1.0,0.6104
same_player|rushing|rushing,119,0.9981,0.4415
same_player|passing|passing,50,0.9998,0.2499
