market,band,games,mae,p75_error,mean_relative_error
passing,0–3,556,57.624,85.224,0.262
passing,4–5,463,57.388,82.177,0.245
passing,6–7,2031,56.731,80.822,0.233
passing,8–10,996,57.994,82.908,0.231
receiving,0–3,9303,21.932,28.892,0.643
receiving,4–5,6869,25.015,33.847,0.57
receiving,6–7,3148,27.666,38.568,0.538
receiving,8–10,209,27.958,38.98,0.505
receptions,0–3,5293,1.63,2.26,0.405
receptions,4–5,7669,1.687,2.371,0.38
receptions,6–7,5779,1.797,2.539,0.368
receptions,8–10,788,1.928,2.642,0.364
rushing,0–3,4315,21.701,28.435,0.665
rushing,4–5,2909,24.388,32.669,0.536
rushing,6–7,1889,27.019,36.964,0.487
rushing,8–10,179,30.259,41.17,0.515
