market,season,model,games,mae,bias,usage_mae
passing,2018,direct,491,62.5879,-2.4806,6.8654
passing,2018,two_stage,491,62.4614,-4.5731,6.8654
passing,2019,direct,484,58.432,4.9098,6.6141
passing,2019,two_stage,484,58.5097,2.4746,6.6141
passing,2020,direct,490,59.9382,-7.8622,6.9237
passing,2020,two_stage,490,60.0125,-11.0568,6.9237
passing,2021,direct,515,56.379,-8.4524,6.559
passing,2021,two_stage,515,56.7734,-11.3154,6.559
passing,2022,direct,510,53.0768,-3.8713,6.5107
passing,2022,two_stage,510,53.4108,-6.6317,6.5107
passing,2023,direct,517,55.9926,1.1556,6.1089
passing,2023,two_stage,517,56.1586,-0.9596,6.1089
passing,2024,direct,529,56.4646,-5.8113,6.4357
passing,2024,two_stage,529,56.7139,-8.4288,6.4357
passing,2025,direct,510,55.8048,-10.4907,6.41
passing,2025,two_stage,510,56.5688,-13.6623,6.41
rushing,2018,direct,1098,24.1378,-1.033,3.956
rushing,2018,two_stage,1098,23.9145,-0.169,3.956
rushing,2019,direct,1036,24.7393,-0.3675,3.9034
rushing,2019,two_stage,1036,24.4405,0.9678,3.9034
rushing,2020,direct,1131,23.9206,-0.9638,4.0044
rushing,2020,two_stage,1131,23.7811,0.5745,4.0044
rushing,2021,direct,1197,23.6062,-0.1217,4.2404
rushing,2021,two_stage,1197,23.5706,1.0196,4.2404
rushing,2022,direct,1193,25.425,-1.2325,4.0608
rushing,2022,two_stage,1193,25.2117,1.0278,4.0608
rushing,2023,direct,1186,22.4504,-2.007,4.0447
rushing,2023,two_stage,1186,22.3238,-0.8358,4.0447
rushing,2024,direct,1234,23.1802,-0.4389,3.7931
rushing,2024,two_stage,1234,23.0462,1.2977,3.7931
rushing,2025,direct,1217,23.034,-0.4988,3.7333
rushing,2025,two_stage,1217,22.7608,1.0728,3.7333
receiving,2018,direct,2407,24.4736,-0.5669,2.2689
receiving,2018,two_stage,2407,24.5304,-0.6026,2.2689
receiving,2019,direct,2418,25.2069,-0.3695,2.2866
receiving,2019,two_stage,2418,25.2161,-0.0831,2.2866
receiving,2020,direct,2434,24.2784,-1.6559,2.3056
receiving,2020,two_stage,2434,24.3114,-1.3338,2.3056
receiving,2021,direct,2611,23.6847,-2.0586,2.1971
receiving,2021,two_stage,2611,23.6991,-1.9766,2.1971
receiving,2022,direct,2455,23.6293,-1.7672,2.2037
receiving,2022,two_stage,2455,23.8125,-1.3637,2.2037
receiving,2023,direct,2463,23.9298,-0.3448,2.1416
receiving,2023,two_stage,2463,23.8183,0.1851,2.1416
receiving,2024,direct,2441,23.496,-0.1871,2.1915
receiving,2024,two_stage,2441,23.6463,-0.1086,2.1915
receiving,2025,direct,2300,23.351,-2.1682,2.1639
receiving,2025,two_stage,2300,23.3876,-2.0467,2.1639
receptions,2018,direct,2407,1.7189,-0.0256,2.2689
receptions,2018,two_stage,2407,1.7214,-0.0414,2.2689
receptions,2019,direct,2418,1.769,-0.0059,2.2866
receptions,2019,two_stage,2418,1.7729,-0.0088,2.2866
receptions,2020,direct,2434,1.7441,-0.0645,2.3056
receptions,2020,two_stage,2434,1.7489,-0.0806,2.3056
receptions,2021,direct,2611,1.6978,-0.1307,2.1971
receptions,2021,two_stage,2611,1.6931,-0.149,2.1971
receptions,2022,direct,2455,1.7306,-0.0816,2.2037
receptions,2022,two_stage,2455,1.7287,-0.089,2.2037
receptions,2023,direct,2463,1.6742,-0.0282,2.1416
receptions,2023,two_stage,2463,1.6748,-0.0294,2.1416
receptions,2024,direct,2441,1.6964,0.0565,2.1915
receptions,2024,two_stage,2441,1.7065,0.0106,2.1915
receptions,2025,direct,2300,1.6798,-0.1692,2.1639
receptions,2025,two_stage,2300,1.6908,-0.1928,2.1639
